Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,LastEditorUserId,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ParentId,OwnerDisplayName
1,1,2,2013-05-08T18:59:12.333,30,1798,7,70,2015-03-26T20:36:33.233,2017-04-07T19:57:29.857,Is there a list of all US Government agencies and sub agencies and is it available via API?,"data-request,usa,government,api-request",12,4,10,,
2,2,,2013-05-08T19:14:48.833,18,,35,168,2013-05-09T19:55:52.903,2013-05-09T19:55:52.903,,,,6,,1,
3,1,,2013-05-08T19:14:56.913,15,93,26,193,2013-05-09T13:38:38.263,2013-05-09T20:43:53.963,Is there a list of all municipal government forms in a machine readable format?,"usa,government",2,4,1,,
4,2,,2013-05-08T19:15:36.803,4,,39,,,2013-05-08T19:15:36.803,,,,1,,1,
5,2,,2013-05-08T19:17:03.953,9,,18,,,2013-05-08T19:17:03.953,,,,1,,1,
6,1,,2013-05-08T19:18:46.930,9,398,44,1511,2015-09-08T10:15:22.590,2015-09-08T10:15:22.590,Is there a list of all utilities that offer the Green Button Download and Green Button Connect?,"usa,energy",3,4,,,
7,1,,2013-05-08T19:19:10.630,15,6093,41,70,2015-03-31T18:43:30.187,2016-05-12T22:06:01.697,U.S. City and County Web Data (API),"data-request,usa,api-request,city,county",6,1,3,,
8,2,,2013-05-08T19:19:10.630,11,,41,41,2013-05-08T19:25:44.980,2013-05-08T19:25:44.980,,,,1,,7,
9,1,,2013-05-08T19:20:16.197,9,120,48,18,2015-03-13T15:16:06.083,2015-03-13T15:16:06.083,Does any City have POIA (Public Online Information act) laws in place?,"usa,city,legal,sunlight-foundation",5,1,1,,
10,2,,2013-05-08T19:23:46.547,8,,7,,,2013-05-08T19:23:46.547,,,,1,,3,
11,1,,2013-05-08T19:23:54.393,19,1844,41,70,2015-03-24T17:38:46.317,2016-08-07T12:03:26.297,De-identified patient data,"data-request,healthcare,medical",6,7,5,,
12,2,,2013-05-08T19:25:47.447,4,,33,,,2013-05-08T19:25:47.447,,,,0,,9,
13,5,,2013-05-08T19:27:49.713,0,,-1,-1,2013-05-08T19:27:49.713,2013-05-08T19:27:49.713,,,,0,,,
14,4,,2013-05-08T19:27:49.713,0,,-1,-1,2013-05-08T19:27:49.713,2013-05-08T19:27:49.713,,,,0,,,
15,1,30,2013-05-08T19:28:40.953,13,195,74,74,2013-05-21T19:05:19.277,2013-07-03T01:00:56.787,Is the data used to calculate national CPI public?,"usa,government,economics,cpi,data-request",2,0,2,,
16,1,19,2013-05-08T19:30:10.813,18,1486,46,70,2015-04-09T14:33:24.513,2017-06-16T02:36:27.833,Is there a complete list of all US tax-exempt nonprofits in machine-readable format?,"data-request,usa,nonprofit",5,4,6,,
17,1,,2013-05-08T19:31:04.713,5,77,65,70,2013-05-09T16:51:28.403,2013-05-09T16:51:28.403,"Given a federal agency, what can I expect to find on the regulations.gov API?","usa,fcc,government,rulemaking",2,0,,,
18,2,,2013-05-08T19:33:09.987,9,,46,,,2013-05-08T19:33:09.987,,,,0,,6,
19,2,,2013-05-08T19:35:19.733,17,,41,41,2013-05-08T20:21:39.740,2013-05-08T20:21:39.740,,,,1,,16,
20,2,,2013-05-08T19:36:08.447,8,,9,,,2013-05-08T19:36:08.447,,,,2,,16,
21,2,,2013-05-08T19:37:14.993,7,,80,,,2013-05-08T19:37:14.993,,,,0,,11,
22,2,,2013-05-08T19:37:58.360,3,,19,,,2013-05-08T19:37:58.360,,,,0,,9,
23,1,,2013-05-08T19:38:36.050,15,285,5,70,2013-05-09T02:00:14.913,2015-01-29T13:20:48.887,How can I get a list of all non-geodata datasets on Data.gov?,"usa,data.gov",5,0,2,,
24,1,33,2013-05-08T19:39:59.097,17,544,32,37,2013-05-08T20:31:29.303,2013-11-19T13:48:28.900,How can I trust the authenticity of an open data source?,"authenticity,trust,data-request",7,4,3,,
25,2,,2013-05-08T19:42:46.407,5,,80,-1,2017-04-13T12:57:29.950,2013-05-09T12:59:30.420,,,,3,,7,
26,1,,2013-05-08T19:42:51.483,37,1178,87,,2013-05-15T13:22:37.157,2013-09-03T17:34:56.517,Benefits of using CC0 over CC-BY for data,"releasing-data,licensing,creative-commons",9,4,1,,
27,2,,2013-05-08T19:43:04.847,5,,46,,,2013-05-08T19:43:04.847,,,,0,,17,
28,2,,2013-05-08T19:46:36.440,12,,7,,,2013-05-08T19:46:36.440,,,,0,,23,
29,1,34,2013-05-08T19:48:07.933,16,803,37,37,2013-05-08T20:18:20.613,2013-05-22T13:28:41.877,What's an easy-to-use tool to manage datasets?,"tool-request,analysis",9,3,3,,
30,2,,2013-05-08T19:49:41.150,10,,86,37,2013-05-08T20:31:36.460,2013-05-08T20:31:36.460,,,,0,,15,
31,2,,2013-05-08T19:52:56.627,2,,41,37,2013-05-08T19:55:25.793,2013-05-08T19:55:25.793,,,,0,,29,
32,2,,2013-05-08T19:57:08.800,12,,108,108,2013-05-08T23:29:22.437,2013-05-08T23:29:22.437,,,,6,,26,
33,2,,2013-05-08T20:00:20.403,9,,108,,,2013-05-08T20:00:20.403,,,,0,,24,
34,2,,2013-05-08T20:01:15.660,14,,117,,,2013-05-08T20:01:15.660,,,,0,,29,
35,2,,2013-05-08T20:02:59.897,10,,41,,,2013-05-08T20:02:59.897,,,,0,,24,
36,5,,2013-05-08T20:13:51.987,0,,-1,-1,2013-05-08T20:13:51.987,2013-05-08T20:13:51.987,,,,0,,,
37,4,,2013-05-08T20:13:51.987,0,,37,263,2013-05-28T19:00:05.310,2013-05-28T19:00:05.310,,,,0,,,
38,2,,2013-05-08T20:21:07.747,2,,26,,,2013-05-08T20:21:07.747,,,,0,,23,
39,2,,2013-05-08T20:25:34.300,24,,122,146,2013-05-10T22:10:23.417,2013-05-10T22:10:23.417,,,,2,,26,
40,1,71,2013-05-08T20:30:39.103,19,183,130,70,2015-03-30T14:45:24.133,2015-03-30T14:45:24.133,"Is there an official/complete list of all US government agency ""developers' pages""?","data-request,usa,government,data.gov,api",3,0,3,,
41,1,77,2013-05-08T20:38:40.293,12,1035,139,2012,2014-02-20T14:10:00.937,2014-02-28T14:51:00.547,Is there a free downloadable administrative division database of Germany?,"data-request,address,postal-code,germany",7,0,1,,
42,1,,2013-05-08T20:41:08.463,35,764,46,147,2013-05-16T19:38:22.847,2017-04-04T13:53:09.670,Should I approach an agency unofficially before FOIAing them?,"usa,foia,social-process",8,4,3,,
43,1,76,2013-05-08T20:41:10.040,9,821,139,18,2013-05-08T23:44:15.693,2013-05-08T23:44:15.693,Database with English words with grammatical classification?,"english,language",1,0,1,,
44,2,,2013-05-08T20:42:30.800,1,,140,140,2013-05-08T23:44:16.400,2013-05-08T23:44:16.400,,,,1,,29,
45,2,,2013-05-08T20:43:53.523,22,,142,,,2013-05-08T20:43:53.523,,,,1,,42,
46,1,,2013-05-08T20:44:40.230,27,4683,139,70,2015-03-24T22:27:35.300,2016-05-24T16:06:21.767,Multinational list of popular first names and surnames?,"data-request,names",8,4,6,,
48,1,,2013-05-08T20:48:43.170,7,170,139,70,2015-04-17T13:48:12.423,2015-04-17T13:48:12.423,Database with the historical prices of most popular products in U.S.?,"data-request,usa,products,historical,prices",1,0,,,
49,2,,2013-05-08T20:48:47.127,4,,142,142,2013-11-13T01:28:07.120,2013-11-13T01:28:07.120,,,,0,,24,
50,2,,2013-05-08T20:50:06.737,20,,133,,,2013-05-08T20:50:06.737,,,,0,,42,
51,2,,2013-05-08T20:52:30.293,3,,147,147,2013-05-08T21:03:28.617,2013-05-08T21:03:28.617,,,,0,,11,
52,1,62,2013-05-08T20:58:29.740,9,1410,147,70,2015-04-02T10:45:12.977,2015-04-02T10:45:12.977,"What server and technologies can I use to extract data out of Wikipedia's infoboxes (e.g., ATC code for drugs)","tool-request,medical,wikipedia,extracting,sparql",4,0,,,
53,2,,2013-05-08T20:59:18.177,2,,142,142,2013-05-13T00:53:41.770,2013-05-13T00:53:41.770,,,,3,,26,
55,2,,2013-05-08T21:13:05.913,3,,7,,,2013-05-08T21:13:05.913,,,,0,,52,
56,5,,2013-05-08T21:14:22.567,0,,-1,-1,2013-05-08T21:14:22.567,2013-05-08T21:14:22.567,,,,0,,,
57,4,,2013-05-08T21:14:22.567,0,,37,37,2013-05-09T13:40:08.227,2013-05-09T13:40:08.227,,,,0,,,
58,5,,2013-05-08T21:15:37.650,0,,90,70,2015-03-04T18:03:35.023,2015-03-04T18:03:35.023,,,,0,,,
59,4,,2013-05-08T21:15:37.650,0,,37,70,2015-03-26T20:17:38.943,2015-03-26T20:17:38.943,,,,0,,,
60,5,,2013-05-08T21:16:21.307,0,,-1,-1,2013-05-08T21:16:21.307,2013-05-08T21:16:21.307,,,,0,,,
61,4,,2013-05-08T21:16:21.307,0,,-1,-1,2013-05-08T21:16:21.307,2013-05-08T21:16:21.307,,,,0,,,
62,2,,2013-05-08T21:17:22.500,14,,153,7,2013-05-09T13:39:30.597,2013-05-09T13:39:30.597,,,,0,,52,
