Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
1,1,2,8/05/2013 0:00,,
2,1,2,8/05/2013 0:00,,
3,1,2,8/05/2013 0:00,,
4,2,2,8/05/2013 0:00,,
5,4,2,8/05/2013 0:00,,
6,2,3,8/05/2013 0:00,,
7,3,2,8/05/2013 0:00,,
8,3,2,8/05/2013 0:00,,
9,5,2,8/05/2013 0:00,,
10,2,2,8/05/2013 0:00,,
11,1,2,8/05/2013 0:00,,
13,8,2,8/05/2013 0:00,,
14,8,2,8/05/2013 0:00,,
15,5,2,8/05/2013 0:00,,
16,7,16,8/05/2013 0:00,,
17,2,2,8/05/2013 0:00,,
18,1,2,8/05/2013 0:00,,
19,1,2,8/05/2013 0:00,,
21,16,2,8/05/2013 0:00,,
22,16,2,8/05/2013 0:00,,
23,15,2,8/05/2013 0:00,,
24,19,2,8/05/2013 0:00,,
25,6,2,8/05/2013 0:00,,
26,18,2,8/05/2013 0:00,,
27,5,2,8/05/2013 0:00,,
29,20,2,8/05/2013 0:00,,
31,24,2,8/05/2013 0:00,,
32,24,2,8/05/2013 0:00,,
33,4,2,8/05/2013 0:00,,
34,10,2,8/05/2013 0:00,,
35,3,2,8/05/2013 0:00,,
37,21,2,8/05/2013 0:00,,
38,27,2,8/05/2013 0:00,,
39,27,2,8/05/2013 0:00,,
40,19,2,8/05/2013 0:00,,
41,26,2,8/05/2013 0:00,,
42,19,2,8/05/2013 0:00,,
43,11,3,8/05/2013 0:00,,
45,23,2,8/05/2013 0:00,,
46,17,2,8/05/2013 0:00,,
47,11,16,8/05/2013 0:00,,
49,15,2,8/05/2013 0:00,,
50,30,2,8/05/2013 0:00,,
51,30,2,8/05/2013 0:00,,
52,31,2,8/05/2013 0:00,,
53,31,16,8/05/2013 0:00,,
54,18,2,8/05/2013 0:00,,
55,33,2,8/05/2013 0:00,,
56,28,2,8/05/2013 0:00,,
57,24,3,8/05/2013 0:00,,
58,19,2,8/05/2013 0:00,,
59,19,2,8/05/2013 0:00,,
60,16,2,8/05/2013 0:00,,
61,20,2,8/05/2013 0:00,,
62,21,2,8/05/2013 0:00,,
