Id,PostId,VoteTypeId,CreationDate,UserId
1,1,2,1367971200,
2,1,2,1367971200,
3,1,2,1367971200,
4,2,2,1367971200,
5,4,2,1367971200,
6,2,3,1367971200,
7,3,2,1367971200,
8,3,2,1367971200,
9,5,2,1367971200,
10,2,2,1367971200,
11,1,2,1367971200,
13,8,2,1367971200,
14,8,2,1367971200,
15,5,2,1367971200,
16,7,16,1367971200,
17,2,2,1367971200,
18,1,2,1367971200,
19,1,2,1367971200,
21,16,2,1367971200,
22,16,2,1367971200,
23,15,2,1367971200,
24,19,2,1367971200,
25,6,2,1367971200,
26,18,2,1367971200,
27,5,2,1367971200,
29,20,2,1367971200,
31,24,2,1367971200,
32,24,2,1367971200,
33,4,2,1367971200,
34,10,2,1367971200,
35,3,2,1367971200,
37,21,2,1367971200,
38,27,2,1367971200,
39,27,2,1367971200,
40,19,2,1367971200,
41,26,2,1367971200,
42,19,2,1367971200,
43,11,3,1367971200,
45,23,2,1367971200,
46,17,2,1367971200,
47,11,16,1367971200,
49,15,2,1367971200,
50,30,2,1367971200,
51,30,2,1367971200,
52,31,2,1367971200,
53,31,16,1367971200,
54,18,2,1367971200,
55,33,2,1367971200,
56,28,2,1367971200,
57,24,3,1367971200,
58,19,2,1367971200,
59,19,2,1367971200,
60,16,2,1367971200,
61,20,2,1367971200,
62,21,2,1367971200,
64,34,2,1367971200,
65,32,2,1367971200,
66,26,2,1367971200,
68,23,2,1367971200,
69,23,2,1367971200,
70,28,2,1367971200,
71,1,2,1367971200,
72,1,5,1367971200,124
73,15,16,1367971200,
74,24,16,1367971200,
75,30,16,1367971200,
76,37,16,1367971200,
77,34,2,1367971200,
78,16,2,1367971200,
79,34,2,1367971200,
80,29,2,1367971200,
81,42,2,1367971200,
82,29,2,1367971200,
83,34,2,1367971200,
84,42,2,1367971200,
85,45,2,1367971200,
86,8,2,1367971200,
87,26,2,1367971200,
88,29,2,1367971200,
89,32,2,1367971200,
90,39,2,1367971200,
91,34,2,1367971200,
92,10,2,1367971200,
93,3,2,1367971200,
94,26,2,1367971200,
95,29,2,1367971200,
96,34,2,1367971200,
97,45,2,1367971200,
98,40,2,1367971200,
99,11,2,1367971200,
100,47,2,1367971200,
101,26,2,1367971200,
102,32,2,1367971200,
103,39,2,1367971200,
104,39,2,1367971200,
105,32,2,1367971200,
106,47,2,1367971200,
107,45,2,1367971200,
108,19,2,1367971200,
109,15,2,1367971200,
110,15,5,1367971200,147
111,42,2,1367971200,
112,42,5,1367971200,147
113,46,2,1367971200,
114,41,2,1367971200,
115,41,2,1367971200,
116,2,2,1367971200,
117,39,2,1367971200,
118,42,2,1367971200,
119,45,2,1367971200,
120,47,2,1367971200,
121,43,2,1367971200,
124,45,2,1367971200,
126,50,2,1367971200,
127,42,2,1367971200,
128,27,2,1367971200,
129,70,2,1367971200,
130,40,2,1367971200,
131,25,2,1367971200,
132,62,2,1367971200,
135,53,2,1367971200,
136,74,2,1367971200,
137,16,2,1367971200,
138,19,2,1367971200,
139,46,2,1367971200,
140,70,2,1367971200,
141,62,2,1367971200,
142,19,2,1367971200,
143,75,2,1367971200,
144,76,2,1367971200,
145,23,5,1367971200,7
146,72,2,1367971200,
147,48,2,1367971200,
148,27,2,1367971200,
149,15,2,1367971200,
150,30,2,1367971200,
152,46,2,1367971200,
153,71,2,1367971200,
154,76,2,1367971200,
156,19,1,1367971200,
157,74,2,1367971200,
158,62,2,1367971200,
159,24,2,1367971200,
160,35,2,1367971200,
161,77,2,1367971200,
162,43,2,1367971200,
163,76,2,1367971200,
164,46,2,1367971200,
165,76,2,1367971200,
166,50,2,1367971200,
167,45,2,1367971200,
168,52,2,1367971200,
169,23,2,1367971200,
170,26,2,1367971200,
171,71,2,1367971200,
172,40,2,1367971200,
173,78,2,1367971200,
174,77,2,1367971200,
175,41,2,1367971200,
177,34,2,1367971200,
178,46,2,1368057600,
179,46,5,1368057600,90
180,79,2,1368057600,
181,84,16,1368057600,
182,11,2,1368057600,
183,11,5,1368057600,176
184,84,2,1368057600,
185,85,3,1368057600,
186,93,2,1368057600,
189,92,2,1368057600,
190,97,2,1368057600,
191,97,2,1368057600,
192,99,2,1368057600,
193,94,2,1368057600,
194,100,2,1368057600,
195,99,2,1368057600,
196,28,2,1368057600,
197,38,2,1368057600,
198,23,2,1368057600,
199,79,2,1368057600,
200,62,2,1368057600,
201,88,2,1368057600,
202,34,2,1368057600,
203,76,2,1368057600,
204,94,2,1368057600,
205,101,2,1368057600,
206,93,2,1368057600,
207,85,2,1368057600,
208,92,2,1368057600,
209,92,5,1368057600,182
212,62,3,1368057600,
213,102,2,1368057600,
214,85,2,1368057600,
215,78,2,1368057600,
216,97,2,1368057600,
217,107,3,1368057600,
218,107,2,1368057600,
219,50,2,1368057600,
220,40,2,1368057600,
221,40,5,1368057600,195
222,3,2,1368057600,
223,10,2,1368057600,
224,1,2,1368057600,
225,92,2,1368057600,
226,97,2,1368057600,
229,107,2,1368057600,
230,48,2,1368057600,
231,15,2,1368057600,
232,94,2,1368057600,
233,114,2,1368057600,
235,86,2,1368057600,
236,53,3,1368057600,
237,35,2,1368057600,
238,114,2,1368057600,
239,47,10,1368057600,
240,24,2,1368057600,
241,10,2,1368057600,
242,3,2,1368057600,
243,46,2,1368057600,
244,119,2,1368057600,
245,121,3,1368057600,
247,71,2,1368057600,
248,35,2,1368057600,
249,33,2,1368057600,
250,49,2,1368057600,
251,125,2,1368057600,
252,121,3,1368057600,
253,15,2,1368057600,
254,30,2,1368057600,
255,119,2,1368057600,
256,96,16,1368057600,
257,78,5,1368057600,204
258,78,2,1368057600,
259,123,16,1368057600,
261,111,5,1368057600,205
262,111,2,1368057600,
265,117,2,1368057600,
266,113,2,1368057600,
267,79,2,1368057600,
268,100,2,1368057600,
269,129,2,1368057600,
270,105,2,1368057600,
271,84,2,1368057600,
272,84,5,1368057600,205
273,85,2,1368057600,
274,85,5,1368057600,205
275,123,2,1368057600,
276,124,2,1368057600,
277,78,2,1368057600,
278,50,2,1368057600,
279,42,2,1368057600,
280,127,2,1368057600,
282,121,2,1368057600,
283,131,2,1368057600,
284,115,2,1368057600,
285,26,2,1368057600,
286,127,2,1368057600,
287,137,2,1368057600,
288,94,2,1368057600,
290,118,6,1368057600,
291,118,3,1368057600,
293,106,2,1368057600,
294,136,2,1368057600,
295,133,5,1368057600,80
296,118,6,1368057600,
297,118,3,1368057600,
298,133,2,1368057600,
299,80,2,1368057600,
300,125,2,1368057600,
301,95,5,1368057600,178
302,8,2,1368057600,
303,7,2,1368057600,
304,118,6,1368057600,
306,133,2,1368057600,
307,118,6,1368057600,
308,42,2,1368057600,
309,126,2,1368057600,
310,50,2,1368057600,
311,45,2,1368057600,
312,52,2,1368057600,
313,79,2,1368057600,
314,62,2,1368057600,
315,79,2,1368057600,
316,88,2,1368057600,
317,55,2,1368057600,
318,140,2,1368057600,
319,132,2,1368057600,
320,7,2,1368057600,
321,8,2,1368057600,
322,25,2,1368057600,
323,3,16,1368057600,
324,69,16,1368057600,
325,62,16,1368057600,
326,112,16,1368057600,
327,40,16,1368057600,
328,64,16,1368057600,
329,57,16,1368057600,
330,59,16,1368057600,
331,37,16,1368057600,
332,141,3,1368057600,
333,62,2,1368057600,
334,118,6,1368057600,
335,88,2,1368057600,
336,115,2,1368057600,
337,11,2,1368057600,
338,11,5,1368057600,205
340,35,2,1368057600,
341,80,2,1368057600,
342,112,16,1368057600,
343,126,2,1368057600,
346,24,3,1368057600,
347,40,2,1368057600,
348,71,2,1368057600,
349,45,2,1368057600,
350,71,2,1368057600,
351,40,2,1368057600,
352,97,2,1368057600,
353,39,2,1368057600,
354,26,2,1368057600,
355,32,2,1368057600,
356,143,2,1368057600,
357,32,2,1368057600,
358,26,2,1368057600,
359,39,2,1368057600,
360,132,2,1368057600,
361,76,2,1368057600,
362,115,2,1368057600,
365,39,2,1368057600,
366,85,2,1368057600,
367,145,2,1368057600,
368,145,2,1368057600,
369,2,2,1368057600,
370,26,2,1368057600,
371,80,2,1368057600,
374,76,2,1368057600,
375,77,2,1368057600,
376,148,2,1368057600,
377,73,2,1368057600,
378,81,2,1368057600,
379,106,2,1368057600,
381,35,2,1368057600,
382,24,2,1368057600,
383,86,15,1368057600,
384,145,2,1368057600,
385,42,2,1368057600,
386,45,2,1368057600,
387,26,2,1368057600,
388,150,2,1368057600,
389,113,2,1368057600,
390,133,2,1368057600,
391,136,2,1368057600,
392,86,15,1368057600,
